article;name;standard_1;standard_2;thread_1;thread_2;armature_1;armature_2;angle;s_key
1C-20-24;Адаптер DKOL Ш/Ш 20х1.5 - 24х1.5;DKOL;DKOL;20_1_5;24_1_5;штуцер;штуцер;0;null
1D-24;Адаптер DKOS Ш/Ш 24x1,5 - 24x1,5;DKOS;DKOS;1_3/8;24_1_5;штуцер;штуцер;0;null
1D-22-24;Адаптер DKOS Ш/Ш 22x1,5 - 24x1,5;DKOS;DKOS;3/4;24_1_5;штуцер;штуцер;0;null
1D-22-24 A;Адаптер DKOS Ш/Ш 22x1,5 - 24x1,5;DKOS;DKOS;3/4;24_1_5;штуцер;штуцер;0;null
1D-24 A;Адаптер DKOS Ш/Ш 24x1,5 - 24x1,5;DKOS;DKOS;3/4;24_1_5;штуцер;штуцер;0;null
1C-20-24 A;Адаптер DKOL Ш/Ш 20х1.5 - 24х1.5;DKOL;DKOL;20_1_5;24_1_5;штуцер;штуцер;0;null
1B-02;"Адаптер BSP Ш/Ш 1/8""-1/8"" S=14";BSP;BSP;48_2;48_2;штуцер;штуцер;0;14
1B-02 A;"Адаптер BSP Ш/Ш 1/8""-1/8"" S=14";BSP;BSP;48_2;48_2;штуцер;штуцер;0;14
2M-42;Адаптер DKM Ш/Г 42х2 - 42х2 S=50;DKM;DKM;9/18;9/18;штуцер;гайка;0;50
2M-42 A;Адаптер DKM Ш/Г 42х2 - 42х2 S=50;DKM;DKM;9/18;9/18;штуцер;гайка;0;50
1M-22 A;Адаптер DKM Ш/Ш 22х1,5 - 22х1,5 S=27;DKM;DKM;22_1_5;22_1_5;штуцер;штуцер;0;27
1B-02-06;"Адаптер BSP Ш/Ш 1/8""-3/8"" S=22";BSP;BSP;48_2;45_2;штуцер;штуцер;0;22
1BQ-12-27D A;"Адаптер BSP 3/4"" Ш - DKI 27х1,5  Ш S=32";BSP;DKI/komatsu;52_2;27_1_5;штуцер;штуцер;0;32
1BQ-12-27D;"Адаптер BSP 3/4"" Ш - DKI 27х1,5  Ш S=32";BSP;DKI/komatsu;52_2;27_1_5;штуцер;штуцер;0;32
2BM-10-20 A;"Адаптер BSP 5/8"" Ш - DKМ 20x1,5 Г S=30";BSP;DKM;38_1_5;20_1_5;штуцер;гайка;0;30
1B-10-16 A;"Адаптер BSP Ш/Ш 5/8""-1"" S=41";BSP;BSP;38_1_5;12_1;штуцер;штуцер;0;41
1B-10-16;"Адаптер BSP Ш/Ш 5/8""-1"" S=41";BSP;BSP;38_1_5;12_1;штуцер;штуцер;0;41
2C-26D;Адаптер DKOL Ш/Г 26x1.5 - 26x1.5;DKOL;DKOL;1/2;1/2;штуцер;гайка;0;null
1M-30D-36D A;Адаптер DKM Ш/Ш 30х1,5 - 36х1,5 S=41;DKM;DKM;30_1_5;36_1_5;штуцер;штуцер;0;41
1CD-16D-24;Адаптер DKOL 16х1,5 Ш - DKOS 24x1,5 Ш;DKOL;DKOS;16_1_5;24_1_5;штуцер;штуцер;0;null
1CD-16D-24 A;Адаптер DKOL 16х1,5 Ш - DKOS 24x1,5 Ш;DKOL;DKOS;16_1_5;24_1_5;штуцер;штуцер;0;null
1M-30D-36;Адаптер DKM Ш/Ш 30х1,5 - 36х2 S=41;DKM;DKM;30_1_5;1/16;штуцер;штуцер;0;41
1CD-16D-20 A;Адаптер DKOL 16х1,5 Ш - DKOS 20x1,5 Ш;DKOL;DKOS;16_1_5;20_1_5;штуцер;штуцер;0;null
1CD-18-20;Адаптер DKOL 18х1,5 Ш - DKOS 20x1,5 Ш;DKOL;DKOS;18_1_5;20_1_5;штуцер;штуцер;0;null
1CD-18-20 A;Адаптер DKOL 18х1,5 Ш - DKOS 20x1,5 Ш;DKOL;DKOS;18_1_5;20_1_5;штуцер;штуцер;0;null
1CD-26D-24;Адаптер DKOL 26х1,5 Ш - DKOS 24x1,5 Ш;DKOL;DKOS;26_1_5;24_1_5;штуцер;штуцер;0;null
1CD-26D-24 A;Адаптер DKOL 26х1,5 Ш - DKOS 24x1,5 Ш;DKOL;DKOS;26_1_5;24_1_5;штуцер;штуцер;0;null
1BQ-08-16D;"Адаптер BSP 1/2"" Ш - DKI 16х1,5  Ш S=27";BSP;DKI/komatsu;42_2;16_1_5;штуцер;штуцер;0;27
1M-30-36;Адаптер DKM Ш/Ш 30х2 - 36х2 S=41;DKM;DKM;30_2;1/16;штуцер;штуцер;0;41
1M-30-36 A;Адаптер DKM Ш/Ш 30х2 - 36х2 S=41;DKM;DKM;30_2;1/16;штуцер;штуцер;0;41
1F-12;"Адаптер ORFS Ш/Ш 1,3/16""-1,3/16""";ORFS;ORFS;5/16;5/16;штуцер;штуцер;0;null
1F-12 A;"Адаптер ORFS Ш/Ш 1,3/16""-1,3/16""";ORFS;ORFS;5/16;5/16;штуцер;штуцер;0;null
6D-36LN;Адаптер DKOS 36x2 Ш - DKOS 36x2 Ш + к.г.;DKOS;DKOS;1/16;1/16;штуцер;штуцер;0;null
6D-36LN A;Адаптер DKOS 36x2 Ш - DKOS 36x2 Ш + к.г.;DKOS;DKOS;1/16;1/16;штуцер;штуцер;0;null
1B-02-06 A;"Адаптер BSP Ш/Ш 1/8""-3/8"" S=22";BSP;BSP;48_2;45_2;штуцер;штуцер;0;22
1BG9-12OG;"Адаптер 90° BSP 3/4"" Ш - G 3/4"" Ш + к.г.";BSP;BSP;52_2;52_2;штуцер;штуцер;90;null
1F-16;"Адаптер ORFS Ш/Ш 1,7/16""-1,7/16""";ORFS;ORFS;3/16;3/16;штуцер;штуцер;0;null
1F-16 A;"Адаптер ORFS Ш/Ш 1,7/16""-1,7/16""";ORFS;ORFS;3/16;3/16;штуцер;штуцер;0;null
1F-12-16;"Адаптер ORFS Ш/Ш 1,3/16""-1,7/16""";ORFS;ORFS;5/16;5/16;штуцер;штуцер;0;null
1F-12-16 A;"Адаптер ORFS Ш/Ш 1,3/16""-1,7/16""";ORFS;ORFS;5/16;5/16;штуцер;штуцер;0;null
1M-16D-22;Адаптер DKM Ш/Ш 16х1,5 - 22х1,5 S=27;DKM;DKM;16_1_5;22_1_5;штуцер;штуцер;0;27
1M-16D-22 A;Адаптер DKM Ш/Ш 16х1,5 - 22х1,5 S=27;DKM;DKM;16_1_5;22_1_5;штуцер;штуцер;0;27
1M-30D-36 A;Адаптер DKM Ш/Ш 30х1,5 - 36х2 S=41;DKM;DKM;30_1_5;1/16;штуцер;штуцер;0;41
1M-30D-36D;Адаптер DKM Ш/Ш 30х1,5 - 36х1,5 S=41;DKM;DKM;30_1_5;36_1_5;штуцер;штуцер;0;41
1M-20-22;Адаптер DKM Ш/Ш 20х1,5 - 22х1,5 S=27;DKM;DKM;20_1_5;22_1_5;штуцер;штуцер;0;27
