id,article,name,standard,dy,thread,angle,armature,seria,usit,o_ring,s_key
1,22611-08-04,"06 BSP 1/2"" (0)(Г)",1,6,90,1,1,1,false,false,
2,22611-08-04T,"06 BSP 1/2"" (0)(Г)",1,6,90,1,1,1,false,false,
3,22611-08-04W,"06 BSP 1/2"" (0)(Г)",1,6,90,1,1,1,false,false,
4,22641-08-04,"06 BSP 1/2"" (45)(Г)",1,6,90,2,1,1,false,false,
5,22641-08-04T,"06 BSP 1/2"" (45)(Г)",1,6,90,2,1,1,false,false,
6,22641-08-04W,"06 BSP 1/2"" (45)(Г)",1,6,90,2,1,1,false,false,
7,22691-08-04,"06 BSP 1/2"" (90)(Г)",1,6,90,3,1,1,false,false,
8,22691-08-04T,"06 BSP 1/2"" (90)(Г)",1,6,90,3,1,1,false,false,
9,22691-08-04W,"06 BSP 1/2"" (90)(Г)",1,6,90,3,1,1,false,false,
10,12611-08-04,"06 BSP 1/2"" (Ш)",1,6,90,1,2,1,false,false,
11,12611A-08-04,"06 BSP 1/2"" (Ш) S=27",1,6,90,1,2,1,true,false,27
12,22612-04-04,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,2,false,false,
13,22611-04-04T,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,1,false,false,
14,22611-04-04W,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,1,false,false,
15,22611-04-04,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,1,false,false,
16,22611-04-04OR,"06 BSP 1/4"" (0)(Г) o-ring",1,6,91,1,1,1,false,true,
17,22641-04-04T,"06 BSP 1/4"" (45)(Г)",1,6,91,2,1,1,false,false,
18,22641-04-04W,"06 BSP 1/4"" (45)(Г)",1,6,91,2,1,1,false,false,
19,22641-04-04,"06 BSP 1/4"" (45)(Г)",1,6,91,2,1,1,false,false,
20,22691-04-04T,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,1,false,false,
21,22692-04-04,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,2,false,false,
22,22691-04-04W,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,1,false,false,
23,22691-04-04,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,1,false,false,
24,22691-04-04OR,"06 BSP 1/4"" (90)(Г) o-ring",1,6,91,3,1,1,false,true,
25,22691K-04-04OR,"06 BSP 1/4"" (90)(Г) o-ring компакт",1,6,91,3,1,1,false,true,
26,22691K-04-04,"06 BSP 1/4"" (90)(Г) компакт",1,6,91,3,1,1,false,false,
27,22691-04-04T SL,"06 BSP 1/4"" (90)(Г) мал.зам.",1,6,91,3,1,1,false,false,
28,12611-04-04 S14,"06 BSP 1/4"" (Ш) S=14",1,6,91,1,2,1,false,false,14
29,12611-04-04 S17,"06 BSP 1/4"" (Ш) S=17",1,6,91,1,2,1,false,false,17
30,12611A-04-04,"06 BSP 1/4"" (Ш) S=19",1,6,91,1,2,1,true,false,19
31,22611-02-04,06 BSP 1/8'' (0)(Г),1,6,73,1,1,1,false,false,
32,22611-02-04W,"06 BSP 1/8"" (0)(Г)",1,6,73,1,1,1,false,false,
33,22611-02-04T,"06 BSP 1/8"" (0)(Г)",1,6,73,1,1,1,false,false,
34,22641-02-04T,"06 BSP 1/8"" (45)(Г)",1,6,73,2,1,1,false,false,
35,22641-02-04W,"06 BSP 1/8"" (45)(Г)",1,6,73,2,1,1,false,false,
36,22641-02-04,"06 BSP 1/8"" (45)(Г)",1,6,73,2,1,1,false,false,
37,22691-02-04T,"06 BSP 1/8"" (90)(Г)",1,6,73,3,1,1,false,false,
38,22691-02-04W,"06 BSP 1/8"" (90)(Г)",1,6,73,3,1,1,false,false,
39,22691-02-04,"06 BSP 1/8"" (90)(Г)",1,6,73,3,1,1,false,false,
40,12611-02-04,"06 BSP 1/8"" (Ш) S=12",1,6,73,1,2,1,false,false,12
41,12611A-02-04,"06 BSP 1/8"" (Ш) S=14",1,6,73,1,2,1,true,false,14
42,22611-12-04T A,"06 BSP 3/4"" (0)(Г)",1,6,58,1,1,1,false,false,
43,22211-12-04 GAS,"06 BSP 3/4"" (0)(Г) FLAT SEAT газовый",1,6,58,1,1,1,false,false,
44,22611-06-04T,"06 BSP 3/8"" (0)(Г)",1,6,92,1,1,1,false,false,
45,22611-06-04W,"06 BSP 3/8"" (0)(Г)",1,6,92,1,1,1,false,false,
46,22611-06-04,"06 BSP 3/8"" (0)(Г)",1,6,92,1,1,1,false,false,
47,22211-06-04,"06 BSP 3/8"" (0)(Г) FLAT SEAT",1,6,92,1,1,1,false,false,
48,22211-06-04T,"06 BSP 3/8"" (0)(Г) FLAT SEAT",1,6,92,1,1,1,false,false,
49,22641-06-04T,"06 BSP 3/8"" (45)(Г)",1,6,92,2,1,1,false,false,
50,22641-06-04W,"06 BSP 3/8"" (45)(Г)",1,6,92,2,1,1,false,false,
51,22641-06-04,"06 BSP 3/8"" (45)(Г)",1,6,92,2,1,1,false,false,
52,22691-06-04T,"06 BSP 3/8"" (90)(Г)",1,6,92,3,1,1,false,false,
53,22691-06-04W,"06 BSP 3/8"" (90)(Г)",1,6,92,3,1,1,false,false,
54,22691-06-04,"06 BSP 3/8"" (90)(Г)",1,6,92,3,1,1,false,false,
55,12611-06-04,"06 BSP 3/8"" (Ш) S=17",1,6,92,1,2,1,false,false,17
56,12611A-06-04,"06 BSP 3/8"" (Ш) S=22",1,6,92,1,2,1,true,false,22
57,22611-08-05,"08 BSP 1/2"" (0)(Г)",1,8,90,1,1,1,false,false,
58,22611-08-05T,"08 BSP 1/2"" (0)(Г)",1,8,90,1,1,1,false,false,
59,22611-08-05W,"08 BSP 1/2"" (0)(Г)",1,8,90,1,1,1,false,false,
60,22211-08-05T,"08 BSP 1/2"" (0)(Г) FLAT SEAT",1,8,90,1,1,1,false,false,
61,22641-08-05,"08 BSP 1/2"" (45)(Г)",1,8,90,2,1,1,false,false,
62,22641-08-05T,"08 BSP 1/2"" (45)(Г)",1,8,90,2,1,1,false,false,
63,22641-08-05W,"08 BSP 1/2"" (45)(Г)",1,8,90,2,1,1,false,false,
64,22691-08-05,"08 BSP 1/2"" (90)(Г)",1,8,90,3,1,1,false,false,
65,22691-08-05T,"08 BSP 1/2"" (90)(Г)",1,8,90,3,1,1,false,false,
66,22691-08-05W,"08 BSP 1/2"" (90)(Г)",1,8,90,3,1,1,false,false,
