id,thread
1,"10_1 "
2,10_1_5
3,12_1_5
4,14_1_5
5,16_1
6,16_1_5
7,18_1_5
8,20_1_5
9,22_1_5
10,24_1_5
11,26_1_5
12,27_1_5
13,30_1_5
14,30_2
15,33_1_5
16,33_2
17,36_1_5
18,39_1_5
19,42_1_5
20,52_1_5
21,12_1
22,42_2
23,36_2
24,52_2
25,45_2
26,39_2
27,27_2
28,48_2
29,64_2
30,48_1_5
31,56_2
32,14_1
33,45_1_5
34,12_1_25
35,26_2
36,68_2
37,38_1_5
38,22_2_5
39,24_2_5
40,27_2_5
41,26_2_5
42,20_2_5
43,22_1_25
44,33_1
45,26_1
46,27_1
47,24_1
48,20_5
49,18_1
50,20_1_6
51,20_1_7
52,20_1
53,36_1
54,24_5
55,24_2
56,"1"""
57,"7/16"""
58,"3/4"""
59,"7/8"""
60,"1_1/4"""
61,"1_1/2"""
62,"2"""
63,"2_1/2"""
64,"1_3/16"""
65,"1_7/16"""
66,"1_11/16"""
67,"1_1/16"""
68,"1_5/16"""
69,"1_5/8"""
70,"1_7/8"""
71,"1/3"""
72,"1/5"""
73,"1/8"""
74,"1/16"""
75,"15/16"""
76,"1/64"""
77,"3/16"""
78,"3/32"""
79,"5/16"""
80,"1_3/8"""
81,"9/18"""
82,"1/16"""
83,"15/16"""
84,"3/16"""
85,"3/32"""
86,"5/16"""
87,"1_3/8"""
88,"9/18"""
89,"1/2"""
90,"1/4"""
91,"11/16"""
92,"3/8"""
93,"5/9"""
94,"9/16"""
