article;name;standard;dy;thread;angle;armature;seria;usit;o_ring;s_key
22611-08-04;06 BSP 1/2 (0)(Г);BSP;6;1_2;0;гайка;легкая;false;false;null
22641-08-04;06 BSP 1/2 (45)(Г);BSP;6;1_2;45;гайка;легкая;false;false;null
22691-08-04;06 BSP 1/2 (90)(Г);BSP;6;1_2;90;гайка;легкая;false;false;null
12611-08-04;06 BSP 1/2 (Ш);BSP;6;1_2;0;штуцер;легкая;false;false;null
12611A-08-04;06 BSP 1/2 (Ш) S=27;BSP;6;1_2;0;штуцер;легкая;true;false;27
22611-04-04;06 BSP 1/4 (0)(Г);BSP;6;1_4;0;гайка;легкая;false;false;null
22611-04-04OR;06 BSP 1/4 (0)(Г) o-ring;BSP;6;1_4;0;гайка;легкая;false;true;null
22641-04-04;06 BSP 1/4 (45)(Г);BSP;6;1_4;45;гайка;легкая;false;false;null
22692-04-04;06 BSP 1/4 (90)(Г);BSP;6;1_4;90;гайка;тяжелая;false;false;null
22691-04-04;06 BSP 1/4 (90)(Г);BSP;6;1_4;90;гайка;легкая;false;false;null
22691-04-04OR;06 BSP 1/4 (90)(Г) o-ring;BSP;6;1_4;90;гайка;легкая;false;true;null
12611-04-04 S14;06 BSP 1/4 (Ш) S=14;BSP;6;1_4;0;штуцер;легкая;false;false;14
12611-04-04 S17;06 BSP 1/4 (Ш) S=17;BSP;6;1_4;0;штуцер;легкая;false;false;17
12611A-04-04;06 BSP 1/4 (Ш) S=19;BSP;6;1_4;0;штуцер;легкая;true;false;19
22611-02-04;06 BSP 1/8 (0)(Г);BSP;6;1_8;0;гайка;легкая;false;false;null
22641-02-04;06 BSP 1/8 (45)(Г);BSP;6;1_8;45;гайка;легкая;false;false;null
22691-02-04;06 BSP 1/8 (90)(Г);BSP;6;1_8;90;гайка;легкая;false;false;null
12611-02-04;06 BSP 1/8 (Ш) S=12;BSP;6;1_8;0;штуцер;легкая;false;false;12
12611A-02-04;06 BSP 1/8 (Ш) S=14;BSP;6;1_8;0;штуцер;легкая;true;false;14
22611-06-04;06 BSP 3/8 (0)(Г);BSP;6;3_8;0;гайка;легкая;false;false;null
22641-06-04;06 BSP 3/8 (45)(Г);BSP;6;3_8;45;гайка;легкая;false;false;null
22691-06-04;06 BSP 3/8 (90)(Г);BSP;6;3_8;90;гайка;легкая;false;false;null
12611-06-04;06 BSP 3/8 (Ш) S=17;BSP;6;3_8;0;штуцер;легкая;false;false;17
12611A-06-04;06 BSP 3/8 (Ш) S=22;BSP;6;3_8;0;штуцер;легкая;true;false;22
22611-08-05;08 BSP 1/2 (0)(Г);BSP;8;1_2;0;гайка;легкая;false;false;null
22641-08-05;08 BSP 1/2 (45)(Г);BSP;8;1_2;45;гайка;легкая;false;false;null
22691-08-05;08 BSP 1/2 (90)(Г);BSP;8;1_2;90;гайка;легкая;false;false;null
12611-08-05;08 BSP 1/2 (Ш) S=22;BSP;8;1_2;0;штуцер;легкая;false;false;22
12611A-08-05;08 BSP 1/2 (Ш) S=27;BSP;8;1_2;0;штуцер;легкая;true;false;27
22611-04-05;08 BSP 1/4 (0)(Г);BSP;8;1_4;0;гайка;легкая;false;false;null
22641-04-05;08 BSP 1/4 (45)(Г);BSP;8;1_4;45;гайка;легкая;false;false;null
22691-04-05;08 BSP 1/4 (90)(Г);BSP;8;1_4;90;гайка;легкая;false;false;null
12611-04-05;08 BSP 1/4 (Ш) S=17;BSP;8;1_4;0;штуцер;легкая;false;false;17
12611A-04-05;08 BSP 1/4 (Ш) S=19;BSP;8;1_4;0;штуцер;легкая;true;false;19
22611-06-05;08 BSP 3/8 (0)(Г);BSP;8;3_8;0;гайка;легкая;false;false;null
22641-06-05;08 BSP 3/8 (45)(Г);BSP;8;3_8;45;гайка;легкая;false;false;null
22691-06-05;08 BSP 3/8 (90)(Г);BSP;8;3_8;90;гайка;легкая;false;false;null
12611-06-05;08 BSP 3/8 (Ш) S=17;BSP;8;3_8;0;штуцер;легкая;false;false;17
12611A-06-05;08 BSP 3/8 (Ш) S=22;BSP;8;3_8;0;штуцер;легкая;true;false;22
22611-08-06;10 BSP 1/2 (0)(Г);BSP;10;1_2;0;гайка;легкая;false;false;null
22641-08-06;10 BSP 1/2 (45)(Г);BSP;10;1_2;45;гайка;легкая;false;false;null
22692-08-06;10 BSP 1/2 (90)(Г);BSP;10;1_2;90;гайка;тяжелая;false;false;null
22691-08-06;10 BSP 1/2 (90)(Г);BSP;10;1_2;90;гайка;легкая;false;false;null
12611-08-06;10 BSP 1/2 (Ш) S=22;BSP;10;1_2;0;штуцер;легкая;false;false;22
12612-08-06;10 BSP 1/2 (Ш) S=22;BSP;10;1_2;0;штуцер;тяжелая;false;false;22
12611А-08-06;10 BSP 1/2 (Ш) S=27;BSP;10;1_2;0;штуцер;легкая;true;false;27
12612А-08-06;10 BSP 1/2 (Ш) S=27;BSP;10;1_2;0;штуцер;тяжелая;true;false;27
22611-04-06;10 BSP 1/4 (0)(Г);BSP;10;1_4;0;гайка;легкая;false;false;null
22641-04-06;10 BSP 1/4 (45)(Г);BSP;10;1_4;45;гайка;легкая;false;false;null
22691-04-06;10 BSP 1/4 (90)(Г);BSP;10;1_4;90;гайка;легкая;false;false;null
12611-04-06;10 BSP 1/4 (Ш) S=17;BSP;10;1_4;0;штуцер;легкая;false;false;17
12611A-04-06;10 BSP 1/4 (Ш) S=19;BSP;10;1_4;0;штуцер;легкая;true;false;19
22611-02-06;10 BSP 1/8 (0)(Г);BSP;10;1_8;0;гайка;легкая;false;false;null
22641-02-06;10 BSP 1/8 (45)(Г);BSP;10;1_8;45;гайка;легкая;false;false;null
22691-02-06;10 BSP 1/8 (90)(Г);BSP;10;1_8;90;гайка;легкая;false;false;null
12611-02-06;10 BSP 1/8 (Ш);BSP;10;1_8;0;штуцер;легкая;false;false;null
12611A-02-06;10 BSP 1/8 (Ш);BSP;10;1_8;0;штуцер;легкая;true;false;null
22612-06-06;10 BSP 3/8 (0)(Г);BSP;10;3_8;0;гайка;тяжелая;false;false;null
22611-06-06;10 BSP 3/8 (0)(Г);BSP;10;3_8;0;гайка;легкая;false;false;null
22611-06-06OR;10 BSP 3/8 (0)(Г) o-ring;BSP;10;3_8;0;гайка;легкая;false;true;null
22641-06-06;10 BSP 3/8 (45)(Г);BSP;10;3_8;45;гайка;легкая;false;false;null
22692-06-06;10 BSP 3/8 (90)(Г);BSP;10;3_8;90;гайка;тяжелая;false;false;null
22691-06-06;10 BSP 3/8 (90)(Г);BSP;10;3_8;90;гайка;легкая;false;false;null
22691-06-06OR;10 BSP 3/8 (90)(Г) o-ring;BSP;10;3_8;90;гайка;легкая;false;true;null
12611-06-06 S17;10 BSP 3/8 (Ш) S=17;BSP;10;3_8;0;штуцер;легкая;false;false;17
12612-06-06 S17;10 BSP 3/8 (Ш) S=17;BSP;10;3_8;0;штуцер;тяжелая;false;false;17
12611-06-06 S19;10 BSP 3/8 (Ш) S=19;BSP;10;3_8;0;штуцер;легкая;false;false;19
12611A-06-06;10 BSP 3/8 (Ш) S=22;BSP;10;3_8;0;штуцер;легкая;true;false;22
22612-08-08;12 BSP 1/2 (0)(Г);BSP;12;1_2;0;гайка;тяжелая;false;false;null
22611-08-08;12 BSP 1/2 (0)(Г);BSP;12;1_2;0;гайка;легкая;false;false;null
22612-08-08OR;12 BSP 1/2 (0)(Г) o-ring;BSP;12;1_2;0;гайка;тяжелая;false;true;null
22611-08-08OR;12 BSP 1/2 (0)(Г) o-ring;BSP;12;1_2;0;гайка;легкая;false;true;null
22642-08-08;12 BSP 1/2 (45)(Г);BSP;12;1_2;45;гайка;тяжелая;false;false;null
22641-08-08;12 BSP 1/2 (45)(Г);BSP;12;1_2;45;гайка;легкая;false;false;null
22692-08-08;12 BSP 1/2 (90)(Г);BSP;12;1_2;90;гайка;тяжелая;false;false;null
22691-08-08;12 BSP 1/2 (90)(Г);BSP;12;1_2;90;гайка;легкая;false;false;null
22692-08-08OR;12 BSP 1/2 (90)(Г) o-ring;BSP;12;1_2;90;гайка;тяжелая;false;true;null
22691-08-08OR;12 BSP 1/2 (90)(Г) o-ring;BSP;12;1_2;90;гайка;легкая;false;true;null
12612-08-08;12 BSP 1/2 (Ш) S=22;BSP;12;1_2;0;штуцер;тяжелая;false;false;22
12611-08-08;12 BSP 1/2 (Ш) S=22;BSP;12;1_2;0;штуцер;легкая;false;false;22
12611A-08-08;12 BSP 1/2 (Ш) S=27;BSP;12;1_2;0;штуцер;легкая;true;false;27
12612А-08-08;12 BSP 1/2 (Ш) S=27;BSP;12;1_2;0;штуцер;тяжелая;true;false;27
22611-04-08;12 BSP 1/4 (0)(Г);BSP;12;1_4;0;гайка;легкая;false;false;null
22612-04-08;12 BSP 1/4 (0)(Г);BSP;12;1_4;0;гайка;тяжелая;false;false;null
22641-04-08;12 BSP 1/4 (45)(Г);BSP;12;1_4;45;гайка;легкая;false;false;null
22642-04-08;12 BSP 1/4 (45)(Г);BSP;12;1_4;45;гайка;тяжелая;false;false;null
22691-04-08;12 BSP 1/4 (90)(Г);BSP;12;1_4;90;гайка;легкая;false;false;null
22692-04-08;12 BSP 1/4 (90)(Г);BSP;12;1_4;90;гайка;тяжелая;false;false;null
12611-04-08;12 BSP 1/4 (Ш) ;BSP;12;1_4;0;штуцер;легкая;false;false;null
12611A-04-08;12 BSP 1/4 (Ш) ;BSP;12;1_4;0;штуцер;легкая;true;false;null
